1000 0.000000 0.000000 0.000000 0.000000 0.000000
2000 0.010000 0.004000 0.004000 0.000000 0.001000
3000 0.011000 0.000000 0.009000 0.000000 0.000000
4000 0.023000 0.008000 0.008000 0.000000 0.000000
5000 0.031000 0.019000 0.022000 0.000000 0.000000
6000 0.040000 0.019000 0.039000 0.000000 0.001000
7000 0.060000 0.023000 0.046000 0.001000 0.001000
8000 0.079000 0.032000 0.059000 0.000000 0.000000
9000 0.103000 0.035000 0.077000 0.000000 0.000000
10000 0.128000 0.042000 0.091000 0.000000 0.000000
